app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
42140,Hamilton's Great Adventure,0.06666666666666667,1404391520,26,1,0.038461538461538464,8.226923076923077,3.4,False,4.95,11.47,2.317171717171717,True
42160,War of the Roses,0.0,0,21,0,0.0,12.576190476190478,6.2,False,8.2,50.0,6.097560975609756,True
42170,Krater,0.0,0,41,0,0.0,9.390243902439023,1.4,True,17.4,46.78,2.688505747126437,True
42910,Magicka,2.45,1378828888,88,17,0.19318181818181818,19.4375,0.8,True,10.41,45.34,4.355427473583093,True
43110,Metro 2033,0.016666666666666666,1467658991,48,0,0.0,14.475000000000003,3.4,False,9.52,20.73,2.1775210084033616,True
44350,GRID 2,1.35,1478295266,60,4,0.06666666666666667,15.871666666666671,5.6,True,19.96,33.85,1.6958917835671343,True
45400,Fortix,0.8333333333333334,1478356986,12,4,0.3333333333333333,29.783333333333335,7.3,False,1.96,7.24,3.6938775510204085,True
45410,Ignite,0.05,1379182682,28,0,0.0,15.357142857142856,5.6,True,3.1,10.07,3.2483870967741937,True
45450,Fortix 2,0.0,0,26,0,0.0,19.98846153846154,3.5,False,3.19,15.69,4.918495297805642,True
45740,Dead Rising 2,0.7666666666666667,1426793147,50,0,0.0,7.106,1.5,True,14.35,50.53,3.521254355400697,True
45770,Dead Rising 2: Off the Record,0.0,0,50,0,0.0,13.264000000000008,1.9,True,13.07,39.28,3.005355776587605,True
46000,Bob Came in Pieces,0.0,0,81,0,0.0,8.13580246913581,1.0,False,4.24,8.23,1.9410377358490567,True
46260,Star Wolves 3: Civil War,0.0,0,0,0,0.0,0.0,0.0,False,0.0,89.65,1.0,True
47780,Dead Space 2,0.0,0,0,0,0.0,0.0,0.0,False,9.09,16.27,1.78987898789879,True
47810,Dragon Age: Origins - Ultimate Edition,0.0,0,0,0,0.0,0.0,0.0,False,49.37,104.28,2.1122138950779825,True
48000,LIMBO,2.1333333333333333,1380915810,13,2,0.15384615384615385,16.292307692307695,2.4,False,2.1710000000000003,2.1710000000000003,1.0,False
48900,Saira,0.0,0,0,0,0.0,0.0,0.0,False,4.44,4.65,1.0472972972972974,True
49520,Borderlands 2,52.0,1508511725,75,36,0.48,23.33599999999999,1.2,False,30.09,130.1,4.323695579926886,True
49600,Beat Hazard,6.6,1421961414,63,33,0.5238095238095238,17.30952380952381,1.4,False,4.63,25.54,5.5161987041036715,True
